Latitude,Longitude,Value
35.9947998,136.1440818,0
36.0008277,135.9857622,0
35.960489,136.3454768,0
36.0602396,136.19906,0
35.99855,136.3576296,0
36.039072,136.171291,0
36.0773498,136.1070671,0
35.9471178,136.4413943,0
36.0608423,136.2084618,0
36.0545015,136.2055512,0
36.0045966,136.2045505,0
36.0056296,136.1985732,0
36.0038547,136.1935515,0
36.1057007,136.1986386,0
36.0098571,136.300672,0
36.0166561,136.2974668,0
36.0087265,136.1974926,0
36.1049453,136.2192113,0
36.0230411,136.0469533,0
36.1228532,136.168722,0
36.0912092,136.0324206,0
36.0344273,136.2668033,0
36.039074,136.2675836,0
36.0438958,136.2664918,0
36.1164282,136.1352308,0
36.0661942,136.1856754,0
36.0808595,136.226746,0
36.088203,136.2251546,0
36.0111881,135.9889864,0
36.1471412,136.1516035,0
35.9883836,136.246294,0
36.1474103,136.1072293,0
36.1487407,136.1034739,0
36.1379004,136.1217901,0
36.1168914,136.2199135,0
36.092905,136.2712649,0
36.0507386,136.2281134,0
36.0521217,136.2287883,0
36.0997888,136.136078,0
36.0188549,136.3306737,0
36.1344508,136.0992251,0
36.0521411,136.226144,0
36.1222649,136.0564929,0
36.1025511,136.2235996,0
36.1020206,136.2234496,0
36.1022318,136.2248662,0
36.0305748,136.2562404,0
36.0680682,136.2534942,0
36.0211392,136.2070634,0
36.0040872,136.2592512,0
36.0571888,136.2603555,0
36.142025,136.1479708,0
36.1132536,136.236912,0
36.1151674,136.2389923,0
36.0941354,136.1930141,0
36.0397472,136.3323286,0
36.0038616,136.325333,0
36.0410677,136.2312083,0
36.0182394,136.3565071,0
36.041094,136.0397311,0
36.1326207,136.1577926,0
36.0471281,136.2367187,0
36.1156653,136.2534938,0
36.051951,136.184837,0
36.1291109,136.1721493,0
35.9926812,136.1876277,0
36.0274691,136.2104963,0
36.0878778,136.18862,0
36.0366341,136.1941523,0
36.0371537,136.1997438,0
36.0279793,136.181268,0
36.0699425,136.2452307,0
36.0191126,136.2574236,0
36.1372649,136.0797625,0
36.0156029,136.3399506,0
36.0303741,136.2045854,0
36.0702548,136.1848394,0
36.0097967,136.2315702,0
36.1314318,136.1365724,0
36.0661807,136.2254766,0
36.1159173,136.1415414,0
36.0200977,136.2114298,0
36.0337768,136.2175928,0
36.0492234,136.0172019,0
36.0814536,136.2160887,0
36.0004665,136.4109887,0
35.9957657,136.2413973,0
36.0215069,136.1180972,0
36.0337451,136.0482389,0
36.0941898,136.2495084,0
36.0984842,136.2571133,0
36.0381771,136.2751886,0
36.0807577,136.1015011,0
36.0702514,136.1627226,0
